Date,Site ID,Error,Combined_DateTime,3055-1,3055-10,3055-11,3055-12,3055-13,3055-14,3055-15,3055-16,3055-17,3055-18,3055-19,3055-2,3055-20,3055-3,3055-4,3055-5,3055-6,3055-7,3055-8,3055-9
8/03/2023,3055,False,2023-08-03 12:25:00,11,2,2,2,0,0,0,0,0,2,0,34,2,2,4,3,6,37,4,2
8/03/2023,3055,False,2023-08-03 12:30:00,9,2,3,2,0,0,0,0,0,0,1,35,2,4,2,5,12,41,2,3
8/03/2023,3055,False,2023-08-03 12:35:00,17,5,2,3,0,0,0,0,2,1,3,46,1,2,3,1,7,42,1,2
8/03/2023,3055,False,2023-08-03 12:40:00,13,3,1,3,0,0,0,0,1,0,1,43,4,4,4,4,10,37,2,1
8/03/2023,3055,False,2023-08-03 12:45:00,4,0,1,0,0,0,0,0,1,0,0,51,1,4,2,2,7,40,3,1
8/03/2023,3055,False,2023-08-03 12:50:00,7,2,1,2,0,0,0,0,0,0,2,51,2,2,9,4,11,43,0,1
8/03/2023,3055,False,2023-08-03 12:55:00,9,4,2,4,0,0,0,0,1,2,1,35,0,4,6,2,11,33,4,2
8/03/2023,3055,False,2023-08-03 13:00:00,9,4,1,3,0,0,0,0,1,1,2,40,0,3,7,2,5,36,0,1
8/03/2023,3055,False,2023-08-03 13:05:00,18,7,4,7,0,0,0,0,0,1,0,40,1,4,4,2,4,45,3,5
8/03/2023,3055,False,2023-08-03 13:10:00,15,0,1,0,0,0,0,0,1,1,0,50,1,3,3,3,9,39,1,2
8/03/2023,3055,False,2023-08-03 13:15:00,7,7,3,5,0,0,0,0,0,2,2,26,0,4,8,4,10,40,3,3
8/03/2023,3055,False,2023-08-03 13:20:00,11,3,1,2,0,0,0,0,0,1,2,36,1,1,2,1,8,37,1,1
8/03/2023,3055,False,2023-08-03 13:25:00,9,4,1,4,0,0,0,0,1,0,0,52,0,1,4,0,4,46,1,1
8/03/2023,3055,False,2023-08-03 13:30:00,10,4,1,4,0,0,0,0,1,0,2,39,1,3,2,1,4,36,1,2
8/03/2023,3055,False,2023-08-03 13:35:00,17,3,2,2,0,0,0,0,0,1,0,44,5,2,3,5,10,31,2,2
8/03/2023,3055,False,2023-08-03 13:40:00,10,3,2,6,0,0,0,0,1,0,1,33,2,6,1,7,5,29,2,2
8/03/2023,3055,False,2023-08-03 13:45:00,5,4,0,5,0,0,0,0,0,2,0,39,6,6,11,6,4,32,0,1
8/03/2023,3055,False,2023-08-03 13:50:00,9,1,0,1,0,0,0,0,0,0,1,41,2,2,6,2,5,38,0,0
8/03/2023,3055,False,2023-08-03 13:55:00,19,4,2,1,0,0,0,0,0,3,1,44,1,3,4,4,11,30,0,2
8/03/2023,3055,False,2023-08-03 14:00:00,5,53,0,5,0,0,0,0,1,0,48,34,1,2,4,2,8,50,2,0
8/03/2023,3055,False,2023-08-03 14:05:00,7,0,0,0,0,0,0,0,0,0,0,43,2,5,8,2,10,40,0,0
8/03/2023,3055,False,2023-08-03 14:10:00,5,7,4,3,0,0,0,0,0,1,3,44,1,3,6,4,14,50,0,4
8/03/2023,3055,False,2023-08-03 14:15:00,12,1,0,1,0,0,0,0,1,1,0,41,2,2,7,3,8,48,0,0
8/03/2023,3055,False,2023-08-03 14:20:00,9,4,1,4,0,0,0,0,0,0,0,50,1,5,3,3,11,46,0,1
8/03/2023,3055,False,2023-08-03 14:25:00,8,6,3,4,0,0,0,0,0,1,0,23,1,2,8,8,16,36,1,3
8/03/2023,3055,False,2023-08-03 14:30:00,13,4,1,4,0,0,0,0,1,1,0,57,0,1,3,1,8,48,0,1
8/03/2023,3055,False,2023-08-03 14:35:00,14,5,1,6,0,0,0,0,0,1,0,49,1,6,1,3,8,41,1,1
8/03/2023,3055,False,2023-08-03 14:40:00,16,5,0,5,0,0,0,0,1,3,0,45,3,6,6,5,15,46,0,0
8/03/2023,3055,False,2023-08-03 14:45:00,12,7,0,8,0,0,0,0,2,0,2,47,1,4,3,1,8,42,1,0
8/03/2023,3055,False,2023-08-03 14:50:00,12,9,2,8,0,0,0,0,0,2,3,49,0,5,5,2,10,53,1,2
8/03/2023,3055,False,2023-08-03 14:55:00,10,3,0,4,0,0,0,0,0,0,0,51,0,9,6,2,9,50,0,0
8/03/2023,3055,False,2023-08-03 15:00:00,3,3,2,1,0,0,0,0,0,0,1,43,1,10,8,2,12,47,1,3
8/03/2023,3055,False,2023-08-03 15:05:00,13,3,2,3,0,0,0,0,0,1,0,51,3,12,4,7,11,30,1,2
8/03/2023,3055,False,2023-08-03 15:10:00,14,6,2,7,0,0,0,0,0,0,1,25,0,3,12,4,12,42,2,2
