Date,Site_ID,Error,Combined_DateTime,2368-1,2368-10,2368-11,2368-12,2368-13,2368-14,2368-15,2368-16,2368-17,2368-18,2368-19,2368-2,2368-20,2368-21,2368-22,2368-23,2368-24,2368-3,2368-4,2368-5,2368-6,2368-7,2368-8,2368-9
8/03/2023,2368,False,2023-08-03 05:50:00,30,4,14,16,2,18,3,3,9,8,3,14,0,0,22,4,0,9,43,0,15,38,16,13
8/03/2023,2368,False,2023-08-03 05:55:00,22,4,6,6,1,19,0,5,5,1,1,18,0,0,21,3,1,19,44,0,7,31,17,17
8/03/2023,2368,False,2023-08-03 06:00:00,12,2,15,5,1,16,1,5,5,2,2,25,1,0,2,1,0,21,34,0,10,20,12,18
8/03/2023,2368,False,2023-08-03 06:05:00,20,5,18,9,2,15,4,15,11,1,1,16,0,0,7,11,0,15,42,0,8,28,20,13
8/03/2023,2368,False,2023-08-03 06:10:00,34,3,7,8,0,12,6,8,8,1,2,26,0,0,18,2,1,24,49,0,7,48,37,18
8/03/2023,2368,False,2023-08-03 06:15:00,51,5,11,20,2,10,2,14,9,7,0,24,0,0,9,3,1,27,55,0,8,52,25,11
8/03/2023,2368,False,2023-08-03 06:20:00,31,4,11,15,5,21,3,4,5,2,1,32,0,0,15,2,1,27,49,0,11,52,37,10
8/03/2023,2368,False,2023-08-03 06:25:00,35,7,18,10,2,8,4,6,5,2,1,25,0,0,2,0,0,32,45,0,10,34,37,16
8/03/2023,2368,False,2023-08-03 06:30:00,0,7,14,20,4,4,3,6,4,2,2,35,0,0,6,1,0,42,63,0,2,16,19,21
8/03/2023,2368,False,2023-08-03 06:35:00,25,3,10,15,0,19,4,6,11,4,0,28,0,0,5,5,2,37,60,0,7,41,28,30
8/03/2023,2368,False,2023-08-03 06:40:00,21,4,16,17,2,11,1,13,10,1,0,24,0,0,8,0,0,40,49,0,7,45,34,23
8/03/2023,2368,False,2023-08-03 06:45:00,58,2,17,20,1,6,5,8,9,5,0,39,0,0,2,1,0,63,70,0,14,26,32,20
8/03/2023,2368,False,2023-08-03 06:50:00,40,3,29,30,2,4,5,9,9,2,2,27,0,0,1,1,3,50,69,0,11,20,27,26
8/03/2023,2368,False,2023-08-03 06:55:00,17,7,18,19,2,6,7,9,7,0,0,30,0,0,2,2,0,48,55,0,13,26,28,26
8/03/2023,2368,False,2023-08-03 07:00:00,19,6,13,15,3,8,5,10,8,1,1,24,0,0,3,0,0,73,71,0,15,31,37,26
8/03/2023,2368,False,2023-08-03 07:05:00,32,2,17,17,4,10,5,9,12,2,2,30,0,0,12,2,0,49,51,0,9,42,37,28
8/03/2023,2368,False,2023-08-03 07:10:00,32,3,14,34,4,6,6,8,9,7,0,44,1,0,7,1,1,76,79,0,21,32,33,27
